GEN.11.13	Depois do nascimento de Chela, viveu ainda quatrocentos e três anos e foi pai de filhos e filhas.
GEN.11.14	Chela tinha trinta anos de idade quando nasceu o seu filho Héber. 
GEN.11.15	Chela viveu ainda quatrocentos e três anos, depois do nascimento de Héber e foi pai de filhos e filhas.
GEN.11.16	Héber tinha trinta e quatro anos de idade quando nasceu o seu filho Peleg. 
GEN.11.17	Depois do nascimento de Peleg, Héber viveu ainda quatrocentos e trinta anos e foi pai de filhos e filhas.
GEN.11.18	Peleg tinha trinta anos de idade quando nasceu o seu filho Reú. 
GEN.11.19	Depois do nascimento de Reú, Peleg viveu ainda duzentos e nove anos e foi pai de filhos e filhas.
GEN.11.20	Reú tinha trinta e dois anos de idade quando nasceu o seu filho Serug. 
GEN.11.21	Depois do nascimento de Serug, Reú viveu ainda duzentos e sete anos e foi pai de filhos e filhas.
GEN.11.22	Serug tinha trinta anos de idade quando nasceu o seu filho Naor. 
GEN.11.23	E, depois do nascimento de Naor, Serug viveu ainda duzentos anos e foi pai de filhos e filhas.
GEN.11.24	Naor tinha vinte e nove anos quando nasceu o seu filho Tera. 
GEN.11.25	Depois do nascimento de Tera, Naor viveu ainda cento e dezanove anos e foi pai de filhos e filhas.
GEN.11.26	Depois dos setenta anos de idade, Tera teve três filhos: Abrão, Naor e Haran.
GEN.11.27	Esta é a lista dos descendentes de Tera. Tera foi pai de Abrão, Naor e Haran. E Haran foi pai de Lot. 
GEN.11.28	Haran morreu antes de Tera, seu pai, na sua terra natal, em Ur, cidade da Caldeia.
GEN.11.29	Abrão e Naor casaram-se. A mulher de Abrão chamava-se Sarai e a mulher de Naor era Milca, filha de Haran e irmã de Jisca. 
GEN.11.30	Mas Sarai era estéril e não conseguia ter filhos.
GEN.11.31	Então Tera saiu de Ur, na Caldeia, levando consigo Abrão, seu filho, e Lot, filho de Haran, seu neto, e Sarai, sua nora e mulher de Abrão, com o intuito de irem para a terra de Canaã. Mas chegaram a Haran
GEN.11.32	Tera viveu até aos duzentos e cinco anos de idade e morreu em Haran.
GEN.12.1	O 
GEN.12.2	Farei de ti um grande povo
GEN.12.3	Hei de abençoar os que te abençoarem e amaldiçoar os que te amaldiçoarem. E através de ti serão abençoados todos os povos do mundo.»
GEN.12.4	Abrão pôs-se a caminho, tal como o 
GEN.12.5	Levou consigo a sua mulher Sarai e Lot, seu sobrinho, mais todos os bens que possuíam e a gente que trabalhava para ele em Haran e foram a caminho da terra de Canaã. Quando chegaram à terra de Canaã, 
GEN.12.6	Abrão foi atravessando o país até Siquém, junto da árvore sagrada de Moré. Naquele tempo, quem habitava o país eram os 
GEN.12.7	Ali Deus apareceu a Abrão e disse-lhe: «Vou dar esta terra aos teus descendentes.» E Abrão construiu um 
GEN.12.8	Dali partiu em direção à montanha que está a oriente e montou a sua tenda, deixando Betel a ocidente e Ai a oriente. Construiu lá um altar em honra do 
GEN.12.9	Depois foi avançando em direção ao Negueve
GEN.12.10	Houve então uma terrível fome em Canaã
GEN.12.11	Quando estava já quase a chegar ao Egito, disse a Sarai, sua mulher: «Eu sei que tu és uma mulher muito bonita. 
GEN.12.12	Quando os egípcios te virem, dizem logo que és minha mulher e são capazes de me matar para ficarem contigo. 
GEN.12.13	Diz portanto que és minha irmã
GEN.12.14	Ao chegarem ao Egito, os egípcios, de facto, repararam que ela era muito bonita. 
GEN.12.15	Viram-na também os oficiais do 
GEN.12.16	Abrão, por seu lado, foi bem tratado por causa dela. Arranjou rebanhos de ovelhas e vacas, burros, jumentas e camelos e tinha criados e criadas ao seu serviço.
GEN.12.17	O 
GEN.12.18	Então o faraó mandou chamar Abrão e perguntou-lhe: «Por que é que fizeste uma coisa destas? Por que não me disseste que ela era tua mulher? 
GEN.12.19	Disseste que era tua irmã e eu casei com ela. Mas uma vez que é tua mulher, aqui a tens, podes levá-la.» 
GEN.12.20	O faraó mandou alguns homens para fazerem sair do Egito Abrão com a sua mulher e com tudo o que lhe pertencia.
GEN.13.1	Abrão saiu do Egito com a sua mulher e com tudo o que lhe pertencia, acompanhado ainda por Lot, e encaminharam-se para o Negueve. 
GEN.13.2	Abrão possuía grandes rebanhos, prata e ouro. 
GEN.13.3	Depois foi viajando do Negueve para Betel, para o lugar onde tinha colocado anteriormente a sua tenda, entre Betel e Ai. 
GEN.13.4	Tinha lá construído um 
GEN.13.5	Também Lot, que acompanhava Abrão, possuía rebanhos de ovelhas e de vacas e muitas tendas. 
GEN.13.6	Por isso, não podiam habitar juntos, porque não havia espaço suficiente para a riqueza que cada um deles já tinha. 
GEN.13.7	Surgiram pois conflitos entre os pastores de Abrão e os de Lot. Além disso, naquela altura os 
GEN.13.8	Então Abrão disse a Lot: «Não devem existir desentendimentos entre nós nem entre os nossos pastores, porque somos da mesma família. 
GEN.13.9	Tens o país inteiro à tua disposição para poderes escolher. Peço-te que te separes de mim. Se fores para a esquerda, eu vou para a direita e se fores para a direita, eu vou para a esquerda.»
GEN.13.10	Lot olhou para o vale do Jordão: tinha bastante água e era como um jardim maravilhoso, semelhante ao Egito, estendendo-se até à região de Soar. Isto foi antes de Deus ter destruído 
GEN.13.11	Lot escolheu, por isso, o vale do Jordão e encaminhou-se para oriente. E assim se separaram um do outro. 
GEN.13.12	Abrão vivia na terra de Canaã e Lot vivia nas cidades do vale do Jordão e foi montar a sua tenda junto de Sodoma. 
GEN.13.13	Mas os habitantes de Sodoma eram maus e cometiam ações contrárias à vontade do 
GEN.13.14	Depois de Lot se ter separado, o 
GEN.13.15	Todo este país que estás a ver eu to dou a ti e aos teus descendentes, para sempre
GEN.13.16	Farei com que os teus descendentes sejam tão numerosos como o pó da terra. Ninguém consegue contar os grãos de pó da terra. Do mesmo modo, ninguém conseguirá contar os teus descendentes. 
GEN.13.17	Agora podes percorrer esta terra em todas as direções, pois é a ti que eu a dou.»
GEN.13.18	Abrão levantou o acampamento e foi viver para os carvalhos de Mambré, em Hebron, e construiu lá um altar em honra do 
GEN.14.1	Amerafel, rei de Sinar, Arioc, rei de Elasar, Cadorlaomer, rei de Elam, e Tidal
GEN.14.2	fizeram guerra a Bera, rei de 
GEN.14.3	Estes últimos juntaram os seus exércitos no vale de Sidim, onde fica o Mar de Sal.
GEN.14.4	Durante doze anos, aceitaram estar sujeitos a Cadorlaomer, mas no décimo terceiro ano revoltaram-se. 
GEN.14.5	No décimo quarto ano, chegou Cadorlaomer juntamente com os reis aliados e derrotaram os 
GEN.14.6	e os 
GEN.14.7	Depois voltaram para En-Mispat, isto é, Cadés, e submeteram toda a região dos 
GEN.14.8	Mas os reis de Sodoma, Gomorra, Admá, Seboim e Bela, que é hoje Soar, saíram para a guerra. Foram combater no vale de Sidim, 
GEN.14.9	Cadorlaomer, rei de Elam, Tidal, rei de Goim, Amerafel, rei de Sinar e Arioc, rei de Elasar. Num total eram quatro reis contra cinco.
GEN.14.10	O vale de Sidim estava cheio de poços de betume e, ao fugirem, os reis de Sodoma e de Gomorra caíram dentro deles. Os restantes fugiram para as montanhas. 
GEN.14.11	Os atacantes saquearam as riquezas de Sodoma e de Gomorra com todos os seus alimentos e foram-se embora. 
GEN.14.12	Levaram também o sobrinho de Abrão, Lot, com todos os seus bens, pois Lot vivia em Sodoma.
GEN.14.13	Entretanto um fugitivo foi anunciar o facto a Abrão, o hebreu, que estava a viver nos carvalhos do amorreu Mambré. Este era parente de Escol e de Aner, com os quais Abrão tinha feito 
GEN.14.14	Ao ouvir que o seu sobrinho tinha sido feito prisioneiro, Abrão armou os seus servos mais experimentados, nascidos em sua casa, em número de trezentos e dezoito, e foi em perseguição dos inimigos até Dan. 
GEN.14.15	Para os atacar, dividiu os seus homens em grupos e venceu-os durante a noite, continuando em perseguição deles até Hoba, que fica para o norte de Damasco. 
GEN.14.16	Recuperou todos os bens e libertou Lot, seu sobrinho, com os seus bens, juntamente com as mulheres e restantes prisioneiros.
GEN.14.17	Quando Abrão regressava, depois de ter atacado Cadorlaomer e os reis seus aliados, o rei de 
GEN.14.18	Também Melquisedec, rei de Salém
GEN.14.19	e abençoou-o com estas palavras:
GEN.14.19	«Que o Deus altíssimo, criador do céu e da terra,
GEN.14.19	abençoe Abrão!
GEN.14.20	Louvado seja o Deus altíssimo,
GEN.14.20	que te deu a vitória sobre os teus inimigos!»
GEN.14.20	Abrão deu-lhe a décima parte
GEN.14.21	Mas o rei de Sodoma replicou: «Dá-me só as pessoas; quanto aos bens, fica com eles.» 
GEN.14.22	Abrão respondeu ao rei de Sodoma: «Juro, com a mão erguida para o 
GEN.14.23	que daquilo que é teu não quero nada para mim, nem um fio, nem um cordão para apertar os sapatos. Não quero que digas que foste tu que enriqueceste a Abrão. 
GEN.14.24	Para mim, só quero aquilo que os meus servos já comeram e a parte a que têm direito aqueles que se juntaram a mim, Aner, Escol e Mambré. Eles, de facto, têm direito a retirar a sua parte.»
GEN.15.1	Depois disto, o 
GEN.15.1	«Não temas Abrão; eu sou o teu protetor;
GEN.15.1	e vais ter uma grande recompensa.»
GEN.15.2	Abrão respondeu: «Ó 
GEN.15.3	Abrão insistiu: «Sabes bem que não me deste filhos e que um criado meu é que vai ser o meu herdeiro.»
GEN.15.4	Mas o 
GEN.15.5	Deus mandou sair Abrão para fora de casa e disse-lhe: «Olha para o céu e vê se podes contar as estrelas. Pois assim será o número dos teus descendentes
GEN.15.6	Abrão confiou no 
GEN.15.7	Deus disse-lhe mais: «Eu sou o 
GEN.15.8	Abrão perguntou: «Ó 
GEN.15.9	O 
GEN.15.10	Abrão trouxe aqueles animais e cortou-os em duas metades, colocando cada uma delas frente a frente
GEN.15.11	Os abutres lançavam-se sobre os corpos dos animais mortos, mas Abrão afastava-os. 
GEN.15.12	Ao entardecer, uma enorme sonolência caiu sobre Abrão e sentiu um medo enorme e terrível
GEN.15.13	Então Deus disse-lhe: «Fica a saber que os teus descendentes hão de viver como estrangeiros numa terra que não é a sua e hão de escravizá-los e humilhá-los durante quatrocentos anos
GEN.15.14	Mas eu mesmo hei de castigar o povo que os vai escravizar e, no fim, poderão sair com muitas riquezas
GEN.15.15	Quanto a ti, morrerás feliz em idade avançada e irás descansar em paz junto dos teus antepassados.
GEN.15.16	Na quarta geração, os teus descendentes hão de voltar para aqui, pois agora as culpas dos 
GEN.15.17	Nisto pôs-se o Sol e veio a escuridão. Viu-se então um fogareiro fumegante e uma tocha acesa a passar entre os animais divididos. 
GEN.15.18	Naquele mesmo dia o 
GEN.15.18	«Vou dar esta terra aos teus descendentes
GEN.15.18	desde a ribeira do Egito
GEN.15.18	até ao grande rio Eufrates.
GEN.15.19	Isto é, vou dar-lhes o território dos 
GEN.15.20	dos 
GEN.15.21	dos amorreus, dos 
GEN.16.1	Sarai, mulher de Abrão, não lhe tinha dado nenhum filho. Ora ela tinha uma escrava egípcia, chamada Agar. 
GEN.16.2	Então Sarai disse a Abrão: «O 
GEN.16.3	E assim, dez anos depois de estarem já a viver em Canaã, Sarai mulher de Abrão deu a sua escrava Agar a Abrão como segunda mulher. 
GEN.16.4	Abrão teve relações com Agar e ela ficou grávida. Ora, ao saber que estava grávida, começou a olhar com desprezo a sua senhora.
GEN.16.5	Sarai disse então a Abrão: «Eu pus a minha escrava nos teus braços e agora que viu que está grávida já me olha com desprezo. Isto é uma injustiça para comigo e tu também és responsável. Que o 
GEN.16.6	Abrão respondeu a Sarai: «Ela continua ainda a ser a tua escrava. Faz dela aquilo que melhor te parecer.» E Sarai começou a humilhá-la de tal maneira que ela teve de fugir.
GEN.16.7	O 
GEN.16.8	e perguntou-lhe: «Agar, escrava de Sarai, de onde vens e para onde vais?» Ela respondeu: «Fugi de casa de Sarai, a minha senhora.» 
GEN.16.9	Mas o anjo do 
GEN.16.10	E acrescentou ainda: «hei de tornar os teus descendentes tão numerosos que ninguém os poderá contar.» 
GEN.16.11	O anjo do 
GEN.16.11	«Tu estás grávida e vais dar à luz um filho;
GEN.16.11	hás de chamar-lhe Ismael,
GEN.16.11	porque o 
GEN.16.12	Será como um animal selvagem
GEN.16.12	sempre em luta com os outros e os outros em luta com ele.
GEN.16.12	Mas conseguirá viver na presença de todos os seus irmãos e vizinhos.»
GEN.16.13	Agar exclamou: «Terei eu visto aquele que me vê a mim?» E disse ao 
GEN.16.14	Por isso, aquela nascente se ficou a chamar «Nascente de Lahai-Roi»
GEN.16.15	Agar deu à luz um filho e Abrão, seu pai, pôs-lhe o nome de Ismael. 
GEN.16.16	Abrão tinha oitenta e seis anos de idade, quando Agar deu à luz o seu filho Ismael.
GEN.17.1	Quando Abrão tinha noventa e nove anos de idade, o 
GEN.17.1	«Eu sou o Deus supremo
GEN.17.2	Eu vou estabelecer uma 
GEN.17.2	vou dar-te uma descendência muito numerosa.»
GEN.17.3	Abrão inclinou-se profundamente e o 
GEN.17.4	«Em virtude da aliança que faço contigo, vais tornar-te pai de uma imensidão de povos. 
GEN.17.5	O teu nome não será Abrão, mas sim Abraão, porque vou fazer com que sejas pai de uma imensidão de povos
GEN.17.6	Vou dar-te uma enorme descendência; de ti hão de surgir vários povos e haverá reis entre os teus descendentes. 
GEN.17.7	Hei de manter firme a minha aliança contigo e com os teus futuros descendentes, como uma aliança eterna. Serei o teu Deus e o Deus dos teus descendentes. 
GEN.17.8	Vou dar-te a ti e a eles em propriedade, para sempre, a terra
GEN.17.9	Deus acrescentou ainda: «Mas tu, Abraão, deves também ser fiel à minha aliança, tu e os teus descendentes, para sempre. 
GEN.17.10	E a obrigação da aliança entre mim e ti e todos os teus descendentes é esta: devem fazer a 
GEN.17.11	A carne do prepúcio será circuncidada e a circuncisão será o sinal da aliança entre mim e vós. 
GEN.17.12	Aos oito dias de idade, façam a circuncisão a todos os descendentes do sexo masculino, quer sejam filhos da família, quer sejam escravos adquiridos por dinheiro e descendam doutras raças diferentes da vossa. 
GEN.17.13	Tanto os nascidos em tua casa, como os que foram adquiridos por dinheiro têm de ser circuncidados. Este será para sempre o sinal da minha aliança no vosso corpo. 
GEN.17.14	E aquele que não tiver sido circuncidado deve ser eliminado do vosso povo, por não ter respeitado a minha aliança.»
GEN.17.15	Deus disse a Abraão: «A tua mulher já não continuará a chamar-se Sarai, mas Sara
GEN.17.16	Hei de abençoá-la e farei com que ela tenha um filho teu. Ainda há de ser mãe de muitos povos e há de haver reis entre os seus descendentes.»
GEN.17.17	Abraão inclinou-se e sorriu, pensando no seu íntimo: «Será que pode nascer um filho de um pai de cem anos? Será que Sara vai mesmo ter um filho aos noventa anos?» 
GEN.17.18	Então Abraão exclamou: «Oxalá tu conserves a vida a Ismael!» 
GEN.17.19	Mas Deus disse: «Sim, mas também a tua mulher Sara vai ter um filho teu e tu hás de dar-lhe o nome de Isaac
GEN.17.20	Também quero responder ao teu pedido a favor de Ismael. Hei de abençoá-lo e dar-lhe uma descendência muito numerosa. Será pai de doze chefes e os seus descendentes formarão um grande povo. 
GEN.17.21	Mas a minha aliança será feita a favor de Isaac, o filho que Sara te vai dar, no próximo ano, por esta altura.» 
GEN.17.22	Depois de ter falado com Abraão, Deus afastou-se de junto dele.
GEN.17.23	Naquele mesmo dia, cumprindo as ordens que recebera do 
GEN.17.24	Abraão tinha noventa e nove anos de idade 
GEN.17.25	e Ismael tinha treze anos quando foram circuncidados. 
GEN.17.26	Naquele mesmo dia, receberam a circuncisão Abraão e o seu filho Ismael 
GEN.17.27	e ainda os restantes homens da casa de Abraão, tanto os nascidos em sua casa como os escravos estrangeiros que tinham sido adquiridos por dinheiro. Todos receberam como ele a circuncisão.
GEN.18.1	Um dia o 
GEN.18.2	Abraão levantou os olhos e viu três personagens
GEN.18.3	e exclamou: «Se o meu senhor me quer fazer um favor, fique um pouco em minha casa. 
GEN.18.4	Mandarei trazer água para lavarem os pés, para que possam descansar uns momentos à sombra das árvores. 
GEN.18.5	Já que passaram por casa deste vosso 
GEN.18.6	Então Abraão correu para dentro da tenda e disse a Sara: «Depressa! Amassa três medidas da melhor farinha e faz alguns pães!» 
